tipo_celular,module_size,CAPN1_MM,CAPN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.074,5.0,225,26,11.56,3.06 (2.47-3.65),199,88.44,3.67 (3.40-3.94)
astrocytes 5,1656.0,0.132,78.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.097,14.0,410,32,7.8,3.42 (2.63-4.22),378,92.2,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,75.0,0.158,48.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,385.0,0.081,24.0,275,28,10.18,1.60 (1.14-2.07),247,89.82,4.28 (4.02-4.53)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.126,38.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.052,24.0,89,4,4.49,1.87 (0.01-3.72),85,95.51,2.82 (2.46-3.17)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.285,35.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,377.0,0.165,60.0,14,5,35.71,0.80 (0.19-1.40),9,64.29,3.03 (1.31-4.75)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.074,13.0,235,19,8.09,3.37 (2.39-4.34),216,91.91,4.03 (3.77-4.29)
astrocytes microglia 23,140.0,0.323,65.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.155,69.0,104,17,16.35,1.77 (1.26-2.28),87,83.65,3.10 (2.80-3.40)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
