tipo_celular,module_size,GCDH_MM,GCDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.09,13.0,136,3,2.21,1.56 (1.00-2.13),133,97.79,3.25 (2.98-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,25,7.08,1.81 (1.15-2.46),328,92.92,4.10 (3.93-4.27)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.068,22.0,169,13,7.69,3.00 (2.20-3.80),156,92.31,3.53 (3.30-3.76)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.06,35.0,89,4,4.49,1.08 (0.85-1.31),85,95.51,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,19,6.88,2.44 (1.67-3.21),257,93.12,3.65 (3.43-3.87)
oligodendrocytes 10,483.0,0.059,15.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.094,57.0,105,12,11.43,1.64 (1.11-2.17),93,88.57,3.43 (3.08-3.78)
oligodendrocytes 16,92.0,0.108,7.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.335,60.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,1807.0,0.153,64.0,104,14,13.46,1.57 (1.08-2.05),90,86.54,3.08 (2.79-3.38)
oligodendrocytes 0,2078.0,0.104,29.0,238,7,2.94,2.11 (1.26-2.95),231,97.06,3.69 (3.47-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.063,22.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.143,53.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
