tipo_celular,module_size,FRMD4B_MM,FRMD4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.555,100.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,349.0,0.569,95.0,68,2,2.94,5.16 (4.26-6.06),66,97.06,4.34 (3.76-4.91)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.233,68.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.49,97.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.4,92.0,91,1,1.1,4.70 (NA-NA),90,98.9,4.53 (4.00-5.06)
da like neurons 11,191.0,0.295,54.0,93,1,1.08,4.26 (NA-NA),92,98.92,5.67 (5.26-6.08)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.552,91.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.429,72.0,110,3,2.73,4.86 (4.08-5.64),107,97.27,5.00 (4.53-5.46)
GABA like neurons 14,1300.0,0.224,59.0,306,4,1.31,4.82 (4.26-5.38),302,98.69,5.10 (4.83-5.37)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.413,93.0,32,2,6.25,5.39 (4.03-6.75),30,93.75,3.08 (2.25-3.91)
oligodendrocytes 10,204.0,0.436,49.0,92,1,1.09,4.70 (NA-NA),91,98.91,5.72 (5.24-6.20)
connective tissue cells 21,250.0,0.473,75.0,117,3,2.56,5.01 (4.41-5.60),114,97.44,5.39 (4.97-5.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,287.0,0.118,7.0,105,3,2.86,4.86 (4.08-5.64),102,97.14,5.08 (4.62-5.55)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.269,57.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.151,50.0,40,2,5.0,5.16 (4.26-6.06),38,95.0,5.91 (5.37-6.46)
microglia 1,346.0,0.229,83.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,639.0,0.202,93.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,237.0,0.391,95.0,26,1,3.85,4.70 (NA-NA),25,96.15,5.28 (4.24-6.31)
