tipo_celular,module_size,TRIM23_MM,TRIM23_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.169,63.0,98,31,31.63,2.55 (1.94-3.17),67,68.37,3.43 (3.09-3.76)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,58,16.43,2.84 (2.40-3.27),295,83.57,4.14 (3.95-4.34)
GABA neurons expressing GLU receptors 22,848.0,0.184,39.0,262,37,14.12,3.14 (2.66-3.61),225,85.88,4.35 (4.09-4.62)
GLU like neurons 17,380.0,0.195,68.0,39,7,17.95,2.69 (1.69-3.69),32,82.05,3.00 (2.39-3.61)
da like neurons 11,1220.0,0.171,48.0,410,44,10.73,3.46 (3.04-3.88),366,89.27,4.35 (4.15-4.56)
GABA neurons expressing GABA receptors 13,77.0,0.218,77.0,8,4,50.0,2.72 (1.45-4.00),4,50.0,4.02 (3.04-5.00)
endothelial cells 9,1653.0,0.05,1.0,297,11,3.7,4.06 (3.15-4.97),286,96.3,3.66 (3.46-3.87)
oligodendrocytes 20,676.0,0.019,3.0,110,6,5.45,1.58 (0.91-2.25),104,94.55,5.28 (4.86-5.70)
GABA like neurons 14,2402.0,0.283,63.0,455,52,11.43,3.08 (2.57-3.59),403,88.57,4.53 (4.34-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.061,28.0,276,47,17.03,2.81 (2.40-3.23),229,82.97,3.72 (3.47-3.96)
oligodendrocytes 10,806.0,0.151,48.0,261,28,10.73,2.96 (2.53-3.38),233,89.27,4.53 (4.27-4.78)
connective tissue cells 21,126.0,0.398,96.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,92.0,0.289,88.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.084,20.0,122,32,26.23,2.54 (2.14-2.93),90,73.77,4.75 (4.29-5.21)
astrocytes microglia 23,54.0,0.379,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.141,94.0,238,28,11.76,3.50 (2.95-4.04),210,88.24,3.66 (3.42-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.097,70.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.166,27.0,175,18,10.29,3.05 (2.51-3.59),157,89.71,4.56 (4.19-4.94)
