tipo_celular,module_size,USP20_MM,USP20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.125,35.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29)
astrocytes 5,1656.0,0.082,7.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.109,17.0,353,34,9.63,2.63 (1.97-3.28),319,90.37,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,823.0,0.137,24.0,23,6,26.09,2.59 (1.55-3.63),17,73.91,2.34 (1.44-3.24)
GLU like neurons 17,1247.0,0.091,19.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.177,75.0,133,14,10.53,1.81 (1.11-2.51),119,89.47,3.46 (3.13-3.78)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.415,95.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2090.0,0.126,30.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,520.0,0.023,1.0,288,10,3.47,4.57 (3.31-5.84),278,96.53,4.15 (3.95-4.35)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,28,10.14,2.66 (1.99-3.32),248,89.86,3.66 (3.43-3.88)
oligodendrocytes 10,735.0,0.058,18.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,91.0,0.444,99.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1768.0,0.071,34.0,105,16,15.24,2.59 (1.72-3.45),89,84.76,3.34 (2.98-3.69)
oligodendrocytes 16,155.0,0.467,100.0,8,1,12.5,0.40 (NA-NA),7,87.5,3.29 (-0.08-6.66)
da neurons 6,307.0,0.071,7.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,110.0,0.335,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.156,72.0,104,13,12.5,2.01 (1.36-2.65),91,87.5,3.00 (2.70-3.30)
oligodendrocytes 0,2078.0,0.079,4.0,238,18,7.56,4.04 (3.12-4.96),220,92.44,3.61 (3.38-3.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.035,1.0,87,15,17.24,2.11 (1.53-2.68),72,82.76,2.69 (2.39-3.00)
oligodendrocytes 2,1630.0,0.135,34.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
