tipo_celular,module_size,TMEM160_MM,TMEM160_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.142,32.0,225,8,3.56,1.87 (1.42-2.32),217,96.44,3.70 (3.45-3.95)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.314,80.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.318,84.0,410,8,1.95,1.94 (1.52-2.36),402,98.05,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,73.0,0.093,5.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,916.0,0.17,39.0,302,8,2.65,2.03 (1.77-2.30),294,97.35,4.05 (3.83-4.28)
oligodendrocytes 20,348.0,0.162,59.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402.0,0.581,94.0,455,14,3.08,1.33 (0.87-1.78),441,96.92,4.48 (4.30-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.227,93.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,107.0,0.292,89.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29)
da neurons 6,729.0,0.196,71.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.163,46.0,252,16,6.35,1.36 (0.96-1.77),236,93.65,4.34 (4.10-4.58)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.204,71.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.24,44.0,213,4,1.88,2.32 (2.26-2.38),209,98.12,4.02 (3.74-4.30)
