tipo_celular,module_size,PURB_MM,PURB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.086,7.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,727.0,0.134,42.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.159,98.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,48,13.6,1.94 (1.66-2.21),305,86.4,4.30 (4.12-4.48)
GABA neurons expressing GLU receptors 22,848.0,0.225,56.0,262,9,3.44,1.62 (0.44-2.79),253,96.56,4.24 (4.00-4.49)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.122,65.0,275,48,17.45,1.96 (1.69-2.23),227,82.55,4.59 (4.33-4.85)
oligodendrocytes 20,295.0,0.035,6.0,28,6,21.43,2.37 (1.95-2.80),22,78.57,2.14 (1.55-2.72)
GABA like neurons 14,3052.0,0.084,10.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.08,45.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.012,0.0,276,43,15.58,2.04 (1.81-2.27),233,84.42,3.92 (3.68-4.15)
oligodendrocytes 10,2107.0,0.065,11.0,358,59,16.48,1.94 (1.69-2.18),299,83.52,4.38 (4.20-4.56)
connective tissue cells 21,69.0,0.355,74.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.054,20.0,96,5,5.21,2.48 (1.34-3.62),91,94.79,3.67 (3.21-4.14)
oligodendrocytes 16,81.0,0.155,34.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.408,93.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,1807.0,0.175,95.0,104,24,23.08,1.67 (1.33-2.02),80,76.92,3.26 (2.95-3.57)
oligodendrocytes 0,613.0,0.154,60.0,127,15,11.81,2.06 (1.70-2.42),112,88.19,3.24 (2.77-3.72)
microglia 1,958.0,0.134,79.0,290,9,3.1,2.13 (0.96-3.31),281,96.9,3.87 (3.64-4.10)
oligodendrocytes 3,854.0,0.103,64.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.152,74.0,200,4,2.0,3.23 (1.06-5.41),196,98.0,3.63 (3.36-3.90)
