tipo_celular,module_size,RAF1_MM,RAF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.085,6.0,71,4,5.63,2.10 (0.69-3.51),67,94.37,2.66 (2.23-3.09)
T cells 18,610.0,0.21,86.0,98,28,28.57,2.13 (1.60-2.65),70,71.43,3.56 (3.22-3.90)
astrocytes 5,932.0,0.115,59.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,41,11.61,2.16 (1.78-2.54),312,88.39,4.19 (4.00-4.37)
GABA neurons expressing GLU receptors 22,1069.0,0.136,28.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,637.0,0.05,3.0,91,18,19.78,2.22 (1.37-3.07),73,80.22,5.39 (4.93-5.84)
da like neurons 11,289.0,0.175,45.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.138,58.0,297,4,1.35,3.12 (1.95-4.29),293,98.65,3.68 (3.47-3.88)
oligodendrocytes 20,322.0,0.122,49.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.119,33.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,354.0,0.126,53.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.113,85.0,276,34,12.32,2.62 (2.21-3.02),242,87.68,3.71 (3.48-3.95)
oligodendrocytes 10,2107.0,0.234,78.0,358,43,12.01,2.05 (1.66-2.44),315,87.99,4.18 (3.99-4.37)
connective tissue cells 21,104.0,0.334,79.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,367.0,0.128,40.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,156.0,0.211,59.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.292,74.0,57,10,17.54,3.11 (2.56-3.67),47,82.46,2.55 (2.14-2.97)
astrocytes 4,721.0,0.124,9.0,61,4,6.56,2.61 (1.52-3.70),57,93.44,2.99 (2.56-3.43)
oligodendrocytes 0,1186.0,0.159,74.0,300,17,5.67,3.72 (3.34-4.10),283,94.33,3.80 (3.58-4.01)
microglia 1,958.0,0.095,24.0,290,21,7.24,2.57 (2.11-3.03),269,92.76,3.94 (3.70-4.18)
oligodendrocytes 3,681.0,0.085,40.0,87,16,18.39,1.69 (1.22-2.16),71,81.61,2.79 (2.49-3.08)
oligodendrocytes 2,921.0,0.123,26.0,200,8,4.0,2.96 (2.20-3.72),192,96.0,3.66 (3.38-3.93)
