tipo_celular,module_size,NINL_MM,NINL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.145,89.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,16,4.53,1.54 (0.88-2.21),337,95.47,4.02 (3.83-4.20)
GABA neurons expressing GLU receptors 22,703.0,0.226,74.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,489.0,0.119,36.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,853.0,0.099,26.0,133,8,6.02,1.81 (0.71-2.90),125,93.98,3.36 (3.05-3.68)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.096,34.0,169,3,1.78,0.83 (-0.08-1.73),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2090.0,0.271,96.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.144,86.0,66,15,22.73,2.13 (1.27-3.00),51,77.27,3.55 (3.11-3.99)
oligodendrocyte progenitor cells 12,3303.0,0.078,50.0,276,7,2.54,2.04 (0.72-3.36),269,97.46,3.58 (3.36-3.80)
oligodendrocytes 10,1277.0,0.058,16.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.239,38.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76)
astrocytes 15,1768.0,0.066,29.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66)
oligodendrocytes 16,155.0,0.216,51.0,8,1,12.5,0.40 (NA-NA),7,87.5,3.29 (-0.08-6.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.214,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.178,62.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,309.0,0.14,58.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.043,3.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,407.0,0.147,41.0,122,8,6.56,1.28 (0.50-2.05),114,93.44,3.52 (3.12-3.91)
