tipo_celular,module_size,PC_MM,PC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.158,94.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,44,12.46,2.05 (1.71-2.39),309,87.54,4.23 (4.05-4.42)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.073,11.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.168,72.0,133,30,22.56,2.00 (1.58-2.41),103,77.44,3.71 (3.36-4.06)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.036,7.0,6,2,33.33,NA,4,66.67,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.135,36.0,74,3,4.05,2.39 (1.37-3.41),71,95.95,2.97 (2.58-3.36)
astrocytes 8,1266.0,0.12,77.0,66,14,21.21,1.76 (1.06-2.46),52,78.79,3.70 (3.28-4.12)
oligodendrocyte progenitor cells 12,3303.0,0.088,61.0,276,36,13.04,2.21 (1.89-2.54),240,86.96,3.81 (3.57-4.04)
oligodendrocytes 10,1277.0,0.07,23.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,126.0,0.256,31.0,7,2,28.57,1.12 (0.53-1.72),5,71.43,1.69 (0.21-3.17)
astrocytes 15,1768.0,0.049,13.0,105,17,16.19,1.61 (1.25-1.97),88,83.81,3.55 (3.20-3.91)
oligodendrocytes 16,122.0,0.255,83.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.336,60.0,6,2,33.33,NA,4,66.67,4.26 (2.94-5.59)
astrocytes 4,721.0,0.162,71.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.107,35.0,238,10,4.2,2.45 (1.74-3.17),228,95.8,3.70 (3.47-3.92)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.049,5.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,1630.0,0.147,62.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
