tipo_celular,module_size,PDE9A_MM,PDE9A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.322,93.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.121,68.0,80,5,6.25,5.70 (3.92-7.48),75,93.75,3.51 (3.11-3.90)
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,22,6.23,1.74 (1.16-2.32),331,93.77,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,703.0,0.115,13.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.182,78.0,133,14,10.53,1.46 (0.86-2.07),119,89.47,3.51 (3.19-3.82)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.116,17.0,120,11,9.17,2.57 (2.24-2.90),109,90.83,4.85 (4.53-5.16)
oligodendrocytes 20,676.0,0.03,8.0,110,4,3.64,1.12 (0.68-1.56),106,96.36,5.20 (4.78-5.62)
GABA like neurons 14,2090.0,0.206,82.0,74,3,4.05,1.98 (0.90-3.05),71,95.95,2.97 (2.59-3.36)
astrocytes 8,1266.0,0.08,48.0,66,14,21.21,1.59 (0.95-2.22),52,78.79,3.76 (3.35-4.16)
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,20,7.25,2.32 (1.74-2.91),256,92.75,3.66 (3.44-3.89)
oligodendrocytes 10,1277.0,0.053,13.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.114,73.0,96,1,1.04,1.78 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,116.0,0.215,59.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.268,26.0,120,21,17.5,1.93 (1.47-2.39),99,82.5,4.07 (3.78-4.36)
astrocytes 4,251.0,0.165,51.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,2078.0,0.1,23.0,238,4,1.68,2.37 (0.23-4.52),234,98.32,3.66 (3.44-3.88)
microglia 1,480.0,0.227,65.0,163,4,2.45,2.33 (2.07-2.59),159,97.55,3.75 (3.48-4.02)
oligodendrocytes 3,242.0,0.134,53.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,1630.0,0.1,3.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
