tipo_celular,module_size,FAR2_MM,FAR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.183,71.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,624.0,0.067,2.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,18,5.1,1.06 (0.63-1.50),335,94.9,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,489.0,0.193,78.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,265.0,0.351,95.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.143,62.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.122,35.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,8,2.9,2.21 (1.36-3.06),268,97.1,3.59 (3.37-3.82)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,86.0,0.215,15.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.229,13.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.12,55.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
