tipo_celular,module_size,EPB41L5_MM,EPB41L5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.096,9.0,102,5,4.9,2.60 (1.60-3.61),97,95.1,3.55 (3.17-3.92)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.133,42.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,21,5.95,1.56 (1.11-2.01),332,94.05,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.149,39.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.08,16.0,80,3,3.75,3.12 (1.96-4.28),77,96.25,5.83 (5.43-6.22)
da like neurons 11,120.0,0.279,61.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.149,66.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358.0,0.428,98.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.174,79.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.069,24.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.133,95.0,276,10,3.62,2.03 (1.48-2.58),266,96.38,3.62 (3.39-3.84)
oligodendrocytes 10,1277.0,0.112,52.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.427,100.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.125,81.0,105,9,8.57,1.58 (1.07-2.09),96,91.43,3.38 (3.03-3.73)
oligodendrocytes 16,61.0,0.239,72.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.32,37.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,752.0,0.167,70.0,96,3,3.12,2.57 (0.61-4.53),93,96.88,3.32 (2.98-3.65)
oligodendrocytes 0,2078.0,0.097,18.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88)
microglia 1,1615.0,0.113,56.0,161,17,10.56,1.54 (0.98-2.10),144,89.44,3.53 (3.26-3.80)
oligodendrocytes 3,681.0,0.072,28.0,87,13,14.94,1.91 (1.34-2.49),74,85.06,2.71 (2.42-3.01)
oligodendrocytes 2,1630.0,0.117,10.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
