tipo_celular,module_size,SLC16A2_MM,SLC16A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.116,18.0,58,2,3.45,1.75 (0.03-3.48),56,96.55,4.28 (3.86-4.69)
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,8,2.27,1.47 (0.80-2.13),345,97.73,3.96 (3.78-4.15)
GABA neurons expressing GLU receptors 22,599.0,0.129,12.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316.0,0.147,70.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.135,24.0,120,10,8.33,4.72 (3.47-5.96),110,91.67,4.60 (4.27-4.92)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.101,14.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.042,7.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.043,11.0,235,2,0.85,2.42 (0.20-4.64),233,99.15,3.84 (3.61-4.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,73.0,0.16,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.056,21.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.42,88.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,1807.0,0.138,37.0,104,5,4.81,0.89 (0.32-1.46),99,95.19,2.97 (2.69-3.25)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
