tipo_celular,module_size,SGMS1_MM,SGMS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.441,98.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,388.0,0.151,49.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29)
astrocytes 5,423.0,0.137,41.0,80,2,2.5,2.41 (-0.28-5.09),78,97.5,3.43 (2.95-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.036,1.0,353,24,6.8,2.23 (1.49-2.97),329,93.2,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,567.0,0.288,79.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.263,77.0,91,7,7.69,0.47 (0.28-0.65),84,92.31,5.01 (4.56-5.46)
da like neurons 11,172.0,0.36,86.0,8,1,12.5,NA,7,87.5,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.32,82.0,120,20,16.67,3.06 (2.72-3.40),100,83.33,4.97 (4.63-5.31)
oligodendrocytes 20,676.0,0.558,85.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,1300.0,0.287,84.0,306,18,5.88,2.36 (1.85-2.88),288,94.12,5.35 (5.10-5.61)
astrocytes 8,771.0,0.255,75.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,411.0,0.168,55.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,236.0,0.422,31.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65)
connective tissue cells 21,152.0,0.219,26.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,367.0,0.124,38.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,287.0,0.333,56.0,105,5,4.76,1.55 (0.76-2.34),100,95.24,5.35 (4.94-5.76)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.17,8.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,514.0,0.121,10.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,187.0,0.255,82.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,1615.0,0.146,87.0,161,16,9.94,1.47 (0.84-2.10),145,90.06,3.52 (3.26-3.79)
oligodendrocytes 3,127.0,0.232,43.0,45,3,6.67,1.95 (0.80-3.10),42,93.33,4.62 (3.75-5.50)
oligodendrocytes 2,347.0,0.137,15.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
