tipo_celular,module_size,CDH13_MM,CDH13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.148,63.0,219,27,12.33,4.98 (4.32-5.63),192,87.67,5.26 (4.94-5.57)
GABA neurons expressing GLU receptors 22,459.0,0.251,80.0,165,22,13.33,3.47 (2.63-4.31),143,86.67,5.43 (5.08-5.77)
GLU like neurons 17,489.0,0.382,96.0,42,8,19.05,4.91 (3.58-6.23),34,80.95,6.26 (5.69-6.84)
da like neurons 11,191.0,0.125,19.0,93,23,24.73,4.61 (3.87-5.35),70,75.27,6.09 (5.67-6.52)
GABA neurons expressing GABA receptors 13,357.0,0.175,58.0,237,5,2.11,3.59 (2.39-4.80),232,97.89,4.43 (4.20-4.67)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.063,27.0,18,6,33.33,0.73 (0.55-0.92),12,66.67,2.45 (1.60-3.30)
GABA like neurons 14,1300.0,0.165,29.0,306,64,20.92,3.80 (3.34-4.27),242,79.08,5.61 (5.33-5.89)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254.0,0.351,70.0,37,16,43.24,3.70 (3.02-4.38),21,56.76,5.34 (4.58-6.10)
oligodendrocytes 10,1277.0,0.104,48.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,87.0,0.28,95.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.172,57.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.12,71.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,528.0,0.142,15.0,175,23,13.14,3.28 (2.71-3.84),152,86.86,4.56 (4.17-4.94)
