tipo_celular,module_size,NAPG_MM,NAPG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.195,80.0,71,9,12.68,3.19 (2.22-4.16),62,87.32,2.52 (2.07-2.97)
T cells 18,727,0.177,75.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656,0.105,33.0,136,1,0.74,2.91 (NA-NA),135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,33,9.35,2.36 (1.89-2.84),320,90.65,4.10 (3.91-4.29)
GABA neurons expressing GLU receptors 22,848,0.147,22.0,262,29,11.07,3.25 (2.76-3.74),233,88.93,4.30 (4.03-4.57)
GLU like neurons 17,229,0.192,47.0,22,7,31.82,4.02 (3.94-4.10),15,68.18,1.82 (1.20-2.44)
da like neurons 11,209,0.172,50.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417,0.095,6.0,213,32,15.02,2.53 (1.92-3.14),181,84.98,4.01 (3.76-4.26)
endothelial cells 9,385,0.097,43.0,275,28,10.18,2.54 (1.90-3.18),247,89.82,4.16 (3.88-4.43)
oligodendrocytes 20,275,0.151,31.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.245,54.0,455,42,9.23,2.98 (2.51-3.44),413,90.77,4.52 (4.33-4.71)
astrocytes 8,140,0.131,51.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303,0.051,16.0,276,19,6.88,2.85 (2.32-3.38),257,93.12,3.61 (3.38-3.84)
oligodendrocytes 10,806,0.113,32.0,261,23,8.81,2.96 (2.52-3.41),238,91.19,4.51 (4.25-4.76)
connective tissue cells 21,106,0.247,28.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,367,0.122,37.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,91,0.146,9.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.122,50.0,235,9,3.83,3.91 (3.25-4.58),226,96.17,3.98 (3.72-4.24)
astrocytes microglia 23,132,0.285,35.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.154,56.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078,0.119,59.0,238,7,2.94,2.99 (1.83-4.16),231,97.06,3.66 (3.43-3.88)
microglia 1,958,0.1,32.0,290,19,6.55,3.19 (2.68-3.70),271,93.45,3.87 (3.63-4.11)
oligodendrocytes 3,681,0.051,8.0,87,7,8.05,1.70 (0.59-2.82),80,91.95,2.67 (2.39-2.94)
oligodendrocytes 2,921,0.096,4.0,200,13,6.5,3.30 (2.82-3.79),187,93.5,3.65 (3.36-3.93)
