tipo_celular,module_size,SYNDIG1_MM,SYNDIG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.666,99.0,140,15,10.71,4.21 (3.50-4.92),125,89.29,4.61 (4.30-4.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.232,68.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63)
GABA neurons expressing GLU receptors 22,823.0,0.25,87.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.103,32.0,80,6,7.5,4.72 (2.68-6.77),74,92.5,5.77 (5.37-6.18)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.182,72.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.201,80.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.194,76.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,130.0,0.197,13.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,100.0,0.409,95.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.183,54.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.52,96.0,99,6,6.06,3.54 (2.33-4.75),93,93.94,4.35 (4.01-4.70)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.164,81.0,300,6,2.0,3.86 (2.84-4.88),294,98.0,3.79 (3.58-4.00)
microglia 1,315.0,0.448,100.0,144,15,10.42,4.35 (3.56-5.14),129,89.58,4.47 (4.14-4.81)
oligodendrocytes 3,1003.0,0.122,72.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.247,63.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
