tipo_celular,module_size,PHF11_MM,PHF11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.182,30.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,506.0,0.098,11.0,225,5,2.22,1.59 (0.98-2.19),220,97.78,3.67 (3.42-3.93)
astrocytes 5,1656.0,0.108,37.0,136,1,0.74,NA,135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,18,5.1,1.74 (1.17-2.31),335,94.9,4.03 (3.85-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.078,12.0,297,2,0.67,4.17 (NA-NA),295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.393,97.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26)
GABA like neurons 14,2402.0,0.073,3.0,455,16,3.52,1.72 (1.12-2.33),439,96.48,4.48 (4.29-4.66)
astrocytes 8,218.0,0.139,64.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,1049.0,0.05,16.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,2107.0,0.091,24.0,358,15,4.19,1.67 (0.99-2.36),343,95.81,3.98 (3.79-4.17)
connective tissue cells 21,104.0,0.396,96.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,377.0,0.058,7.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,107.0,0.305,94.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.326,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.132,28.0,104,10,9.62,2.19 (1.44-2.94),94,90.38,2.94 (2.64-3.24)
oligodendrocytes 0,2078.0,0.113,46.0,238,1,0.42,NA,237,99.58,3.64 (3.42-3.86)
microglia 1,1615.0,0.1,36.0,161,14,8.7,1.67 (0.99-2.36),147,91.3,3.46 (3.19-3.73)
oligodendrocytes 3,854.0,0.07,25.0,76,1,1.32,4.17 (NA-NA),75,98.68,2.76 (2.43-3.09)
oligodendrocytes 2,1630.0,0.131,28.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
