tipo_celular,module_size,PTPRK_MM,PTPRK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.638,97.0,68,9,13.24,2.03 (1.13-2.92),59,86.76,4.80 (4.25-5.35)
astrocytes 5,165.0,0.249,72.0,51,2,3.92,4.70 (NA-NA),49,96.08,5.37 (4.68-6.05)
oligodendrocyte progenitor cells 7,229.0,0.095,10.0,45,6,13.33,4.95 (4.77-5.12),39,86.67,5.01 (4.29-5.73)
GABA neurons expressing GLU receptors 22,567.0,0.346,86.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.525,97.0,91,16,17.58,2.71 (1.29-4.13),75,82.42,5.06 (4.61-5.51)
da like neurons 11,408.0,0.652,98.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48)
GABA neurons expressing GABA receptors 13,288.0,0.459,95.0,93,13,13.98,3.71 (2.31-5.10),80,86.02,5.44 (4.94-5.94)
endothelial cells 9,586.0,0.53,91.0,62,2,3.23,NA,60,96.77,4.05 (3.60-4.49)
oligodendrocytes 20,676.0,0.36,63.0,110,20,18.18,4.65 (3.61-5.70),90,81.82,5.09 (4.60-5.59)
GABA like neurons 14,1300.0,0.2,47.0,306,37,12.09,3.34 (2.69-4.00),269,87.91,5.41 (5.15-5.68)
astrocytes 8,771.0,0.513,94.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,708.0,0.274,85.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.553,88.0,92,10,10.87,5.59 (4.21-6.97),82,89.13,5.72 (5.22-6.23)
connective tissue cells 21,250.0,0.217,22.0,117,16,13.68,4.41 (3.26-5.56),101,86.32,5.56 (5.15-5.97)
astrocytes 15,458.0,0.29,92.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,153.0,0.112,2.0,14,1,7.14,6.20 (NA-NA),13,92.86,4.54 (3.80-5.29)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.323,65.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,752.0,0.2,97.0,96,9,9.38,2.93 (2.36-3.49),87,90.62,3.34 (2.97-3.70)
oligodendrocytes 0,117.0,0.165,57.0,4,2,50.0,6.69 (5.73-7.65),2,50.0,5.16 (5.16-5.16)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.173,91.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.262,72.0,114,12,10.53,4.61 (4.04-5.18),102,89.47,5.20 (4.73-5.67)
