tipo_celular,module_size,ZNF432_MM,ZNF432_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.095,20.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.143,63.0,353,44,12.46,1.87 (1.59-2.15),309,87.54,4.28 (4.10-4.46)
GABA neurons expressing GLU receptors 22,567.0,0.134,21.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,120.0,0.121,16.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.183,84.0,125,1,0.8,3.04 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,1266.0,0.057,22.0,66,13,19.7,1.66 (0.96-2.36),53,80.3,3.69 (3.27-4.10)
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,38,13.77,2.00 (1.74-2.25),238,86.23,3.88 (3.65-4.11)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.409,97.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.064,27.0,105,18,17.14,1.71 (1.25-2.18),87,82.86,3.55 (3.20-3.91)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.433,93.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.172,92.0,104,26,25.0,1.82 (1.44-2.20),78,75.0,3.25 (2.94-3.56)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
