tipo_celular,module_size,PCGF3_MM,PCGF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.165,26.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282.0,0.179,54.0,12,1,8.33,4.91 (NA-NA),11,91.67,3.16 (1.97-4.34)
astrocytes 5,1656.0,0.126,67.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,67,18.98,2.18 (1.90-2.46),286,81.02,4.39 (4.21-4.56)
GABA neurons expressing GLU receptors 22,203.0,0.314,67.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,685.0,0.055,5.0,135,19,14.07,1.65 (1.25-2.05),116,85.93,3.50 (3.17-3.82)
da like neurons 11,853.0,0.075,9.0,133,47,35.34,2.17 (1.86-2.49),86,64.66,4.02 (3.63-4.42)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.073,9.0,297,14,4.71,3.69 (2.92-4.47),283,95.29,3.67 (3.46-3.88)
oligodendrocytes 20,221.0,0.233,63.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2090.0,0.13,32.0,74,15,20.27,2.37 (2.04-2.69),59,79.73,3.12 (2.65-3.59)
astrocytes 8,727.0,0.133,65.0,29,3,10.34,3.02 (1.74-4.30),26,89.66,2.28 (1.75-2.81)
oligodendrocyte progenitor cells 12,708.0,0.081,35.0,32,10,31.25,1.44 (0.70-2.18),22,68.75,4.25 (3.34-5.15)
oligodendrocytes 10,2107.0,0.042,3.0,358,75,20.95,2.16 (1.88-2.44),283,79.05,4.43 (4.24-4.61)
connective tissue cells 21,78.0,0.236,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.141,44.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,74.0,0.232,77.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.31,47.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.157,73.0,104,29,27.88,1.82 (1.49-2.14),75,72.12,3.31 (2.99-3.64)
oligodendrocytes 0,2078.0,0.09,9.0,238,23,9.66,2.96 (2.48-3.44),215,90.34,3.71 (3.47-3.95)
microglia 1,1615.0,0.087,18.0,161,59,36.65,2.12 (1.83-2.42),102,63.35,4.07 (3.77-4.37)
oligodendrocytes 3,681.0,0.041,4.0,87,50,57.47,2.18 (1.91-2.44),37,42.53,3.26 (2.77-3.75)
oligodendrocytes 2,1630.0,0.136,37.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
