tipo_celular,module_size,ITPKB_MM,ITPKB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.159,41.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,624.0,0.161,57.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,222.0,0.099,6.0,98,3,3.06,2.97 (0.83-5.12),95,96.94,4.66 (4.25-5.07)
oligodendrocyte progenitor cells 7,200.0,0.501,100.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.414,97.0,135,12,8.89,1.48 (0.99-1.97),123,91.11,3.39 (3.08-3.71)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.271,84.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,358.0,0.085,26.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.276,98.0,66,16,24.24,1.92 (1.17-2.68),50,75.76,3.73 (3.32-4.15)
oligodendrocyte progenitor cells 12,708.0,0.219,79.0,25,3,12.0,3.10 (0.14-6.06),22,88.0,2.83 (1.77-3.89)
oligodendrocytes 10,130.0,0.219,17.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,250.0,0.308,51.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,1401.0,0.109,70.0,96,5,5.21,3.11 (1.87-4.35),91,94.79,3.65 (3.17-4.12)
oligodendrocytes 16,65.0,0.119,10.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.26,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.142,28.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61)
oligodendrocytes 0,187.0,0.377,97.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,1615.0,0.131,78.0,161,20,12.42,1.61 (0.99-2.24),141,87.58,3.55 (3.29-3.82)
oligodendrocytes 3,187.0,0.242,92.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,348.0,0.201,52.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
