tipo_celular,module_size,CYFIP1_MM,CYFIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.372,80.0,140,36,25.71,4.54 (3.88-5.20),104,74.29,4.56 (4.25-4.87)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.092,23.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.147,68.0,353,44,12.46,1.87 (1.50-2.24),309,87.54,4.24 (4.06-4.41)
GABA neurons expressing GLU receptors 22,1069.0,0.186,65.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.148,61.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.177,45.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.142,32.0,62,7,11.29,4.60 (3.40-5.79),55,88.71,3.96 (3.48-4.45)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.318,99.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,1266.0,0.086,55.0,66,24,36.36,2.71 (2.00-3.42),42,63.64,3.60 (3.13-4.08)
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,33,11.96,2.13 (1.74-2.52),243,88.04,3.80 (3.58-4.03)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.213,8.0,4,2,50.0,3.97 (1.29-6.65),2,50.0,3.06 (2.16-3.96)
astrocytes 15,1401.0,0.077,42.0,96,26,27.08,4.33 (3.67-4.98),70,72.92,3.37 (2.82-3.92)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.345,67.0,99,11,11.11,3.84 (2.93-4.76),88,88.89,4.35 (3.99-4.71)
astrocytes 4,787.0,0.149,45.0,65,3,4.62,4.10 (2.88-5.33),62,95.38,2.89 (2.49-3.30)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.287,88.0,144,26,18.06,4.70 (4.07-5.33),118,81.94,4.41 (4.06-4.76)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
