tipo_celular,module_size,VPS29_MM,VPS29_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.316,92.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,282,0.11,25.0,241,1,0.41,3.87 (NA-NA),240,99.59,4.06 (3.80-4.31)
astrocytes 5,1656,0.114,47.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47)
oligodendrocyte progenitor cells 7,628,0.145,35.0,164,5,3.05,3.04 (1.89-4.18),159,96.95,4.13 (3.79-4.47)
GABA neurons expressing GLU receptors 22,714,0.128,18.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1247,0.044,2.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,168,0.128,57.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,70,0.121,18.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,916,0.127,23.0,302,4,1.32,1.73 (0.48-2.98),298,98.68,4.02 (3.80-4.25)
oligodendrocytes 20,275,0.279,75.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.239,53.0,455,24,5.27,2.49 (1.89-3.08),431,94.73,4.49 (4.30-4.67)
astrocytes 8,520,0.063,20.0,288,25,8.68,3.25 (2.66-3.83),263,91.32,4.29 (4.08-4.50)
oligodendrocyte progenitor cells 12,1049,0.085,45.0,235,4,1.7,2.71 (1.78-3.64),231,98.3,3.85 (3.61-4.08)
oligodendrocytes 10,483,0.095,39.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,118,0.361,82.0,4,2,50.0,NA,2,50.0,1.60 (-1.03-4.24)
astrocytes 15,1768,0.076,40.0,105,10,9.52,2.26 (1.40-3.11),95,90.48,3.32 (2.97-3.68)
oligodendrocytes 16,61,0.228,65.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.133,39.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,101,0.334,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.174,94.0,104,10,9.62,2.25 (1.23-3.27),94,90.38,2.93 (2.64-3.22)
oligodendrocytes 0,2078,0.105,32.0,238,8,3.36,2.94 (1.83-4.06),230,96.64,3.66 (3.44-3.89)
microglia 1,813,0.096,23.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53)
oligodendrocytes 3,743,0.052,10.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.127,22.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
