tipo_celular,module_size,TPM1_MM,TPM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.209,49.0,21,4,19.05,0.96 (-0.24-2.16),17,80.95,2.63 (2.00-3.27)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.092,23.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.167,92.0,353,21,5.95,1.87 (1.36-2.38),332,94.05,4.06 (3.87-4.24)
GABA neurons expressing GLU receptors 22,823.0,0.213,72.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,300.0,0.2,61.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,204.0,0.117,24.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,75.0,0.139,36.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,303.0,0.17,46.0,54,23,42.59,5.69 (5.05-6.33),31,57.41,4.28 (3.42-5.15)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.219,47.0,455,15,3.3,2.41 (1.48-3.35),440,96.7,4.43 (4.25-4.62)
astrocytes 8,1266.0,0.125,80.0,66,19,28.79,2.43 (1.76-3.09),47,71.21,3.63 (3.13-4.12)
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,15,5.43,2.27 (1.56-2.98),261,94.57,3.63 (3.41-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.319,74.0,21,11,52.38,7.05 (6.34-7.77),10,47.62,4.01 (2.32-5.70)
astrocytes 15,1401.0,0.089,53.0,96,30,31.25,4.14 (3.55-4.73),66,68.75,3.38 (2.80-3.97)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.052,1.0,182,5,2.75,2.37 (1.73-3.01),177,97.25,3.68 (3.42-3.94)
astrocytes microglia 23,83.0,0.325,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.174,52.0,12,2,16.67,5.72 (NA-NA),10,83.33,4.40 (3.48-5.32)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.085,16.0,161,12,7.45,1.49 (0.74-2.23),149,92.55,3.45 (3.18-3.72)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
