tipo_celular,module_size,RUNX1T1_MM,RUNX1T1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.135,55.0,166,33,19.88,2.34 (1.92-2.75),133,80.12,3.73 (3.45-4.00)
oligodendrocyte progenitor cells 7,436.0,0.203,84.0,219,4,1.83,2.93 (2.67-3.19),215,98.17,5.28 (4.99-5.56)
GABA neurons expressing GLU receptors 22,823.0,0.205,67.0,23,2,8.7,2.39 (-0.32-5.11),21,91.3,2.40 (1.62-3.18)
GLU like neurons 17,795.0,0.146,58.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,197.0,0.215,56.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.129,33.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87)
endothelial cells 9,1653.0,0.198,89.0,297,2,0.67,5.16 (5.16-5.16),295,99.33,3.66 (3.46-3.87)
oligodendrocytes 20,676.0,0.038,13.0,110,4,3.64,1.39 (0.42-2.37),106,96.36,5.19 (4.76-5.61)
GABA like neurons 14,1300.0,0.12,14.0,306,12,3.92,2.24 (1.54-2.94),294,96.08,5.27 (5.01-5.53)
astrocytes 8,727.0,0.137,68.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,254.0,0.484,96.0,37,2,5.41,2.73 (2.43-3.02),35,94.59,4.62 (4.02-5.21)
oligodendrocytes 10,1277.0,0.061,18.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114.0,0.22,31.0,19,1,5.26,2.87 (NA-NA),18,94.74,5.02 (4.31-5.74)
astrocytes 15,367.0,0.185,76.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,65.0,0.122,11.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.217,29.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55)
astrocytes 4,220.0,0.251,87.0,63,5,7.94,3.04 (2.74-3.34),58,92.06,5.37 (4.79-5.95)
oligodendrocytes 0,479.0,0.173,65.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.184,93.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.187,45.0,114,4,3.51,2.93 (2.67-3.19),110,96.49,5.23 (4.81-5.64)
