tipo_celular,module_size,PHAX_MM,PHAX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,400.0,0.33,93.0,24,14,58.33,1.92 (1.12-2.73),10,41.67,2.48 (2.04-2.92)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.155,40.0,410,11,2.68,2.90 (1.89-3.91),399,97.32,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,200.0,0.164,58.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87)
endothelial cells 9,559.0,0.09,18.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,250.0,0.163,42.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.256,57.0,455,30,6.59,2.26 (1.68-2.85),425,93.41,4.55 (4.37-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.154,77.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,104.0,0.254,82.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,518.0,0.066,5.0,122,18,14.75,2.18 (1.52-2.83),104,85.25,4.42 (4.02-4.83)
astrocytes microglia 23,125.0,0.318,50.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.125,32.0,127,21,16.54,2.86 (2.30-3.42),106,83.46,3.12 (2.59-3.64)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.055,13.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57)
oligodendrocytes 2,1630.0,0.153,74.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
