tipo_celular,module_size,KRR1_MM,KRR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.094,10.0,71,2,2.82,1.12 (-0.68-2.92),69,97.18,2.67 (2.26-3.09)
T cells 18,393.0,0.111,20.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.156,81.0,353,25,7.08,1.80 (1.31-2.29),328,92.92,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,823.0,0.224,78.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.142,67.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220.0,0.08,7.0,410,8,1.95,2.91 (1.43-4.38),402,98.05,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.075,10.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,403.0,0.056,20.0,18,8,44.44,1.25 (0.44-2.06),10,55.56,2.38 (1.42-3.34)
GABA like neurons 14,3052.0,0.109,24.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,15,5.43,2.00 (1.54-2.45),261,94.57,3.66 (3.44-3.88)
oligodendrocytes 10,735.0,0.07,29.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,64.0,0.16,34.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.323,46.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.105,31.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,1615.0,0.102,39.0,161,18,11.18,1.39 (0.92-1.87),143,88.82,3.57 (3.31-3.83)
oligodendrocytes 3,681.0,0.078,34.0,87,14,16.09,1.73 (1.23-2.23),73,83.91,2.76 (2.47-3.06)
oligodendrocytes 2,1630.0,0.152,72.0,154,3,1.95,4.97 (3.62-6.31),151,98.05,3.21 (2.94-3.47)
