tipo_celular,module_size,GXYLT2_MM,GXYLT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.108,21.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,567.0,0.205,55.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.098,17.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,228.0,0.126,23.0,5,0,0.0,NA,5,100.0,3.25 (1.10-5.41)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.083,32.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.073,25.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.237,35.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,377.0,0.144,45.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,78.0,0.197,51.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.34,64.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,1807.0,0.102,3.0,104,11,10.58,1.73 (1.14-2.31),93,89.42,3.01 (2.71-3.30)
oligodendrocytes 0,187.0,0.159,46.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.187,85.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,921.0,0.143,63.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91)
