tipo_celular,module_size,GOLGA1_MM,GOLGA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.098,10.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,477.0,0.131,29.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.134,80.0,136,2,1.47,3.46 (3.18-3.74),134,98.53,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,14,3.97,2.05 (1.09-3.00),339,96.03,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,703.0,0.1,9.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,685.0,0.076,13.0,135,2,1.48,1.39 (-0.26-3.05),133,98.52,3.22 (2.91-3.53)
da like neurons 11,145.0,0.144,27.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.081,7.0,120,1,0.83,3.31 (NA-NA),119,99.17,4.62 (4.30-4.94)
oligodendrocytes 20,348.0,0.049,21.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.131,42.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.04,5.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.127,92.0,276,5,1.81,2.33 (1.26-3.39),271,98.19,3.57 (3.35-3.79)
oligodendrocytes 10,1277.0,0.058,15.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.157,54.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,71.0,0.129,9.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.35,79.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,787.0,0.137,24.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.117,56.0,238,1,0.42,3.31 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,1615.0,0.077,7.0,161,10,6.21,1.24 (0.47-2.01),151,93.79,3.44 (3.18-3.70)
oligodendrocytes 3,854.0,0.074,30.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.145,58.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
