tipo_celular,module_size,SIRT5_MM,SIRT5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.089,13.0,136,3,2.21,1.50 (1.05-1.96),133,97.79,3.25 (2.98-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,41,11.61,1.96 (1.64-2.28),312,88.39,4.23 (4.05-4.41)
GABA neurons expressing GLU receptors 22,1069.0,0.223,86.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,489.0,0.098,22.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,97.0,0.149,39.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.04,13.0,33,7,21.21,3.08 (2.83-3.32),26,78.79,2.63 (2.00-3.26)
GABA like neurons 14,3052.0,0.188,87.0,125,3,2.4,3.37 (3.00-3.73),122,97.6,3.35 (3.02-3.68)
astrocytes 8,262.0,0.098,30.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,26,9.42,2.00 (1.65-2.35),250,90.58,3.76 (3.53-3.99)
oligodendrocytes 10,483.0,0.035,4.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.084,48.0,105,21,20.0,1.81 (1.45-2.18),84,80.0,3.60 (3.23-3.97)
oligodendrocytes 16,69.0,0.247,68.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.313,42.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,787.0,0.19,98.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.101,24.0,238,13,5.46,2.68 (2.15-3.20),225,94.54,3.70 (3.47-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.073,28.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88)
oligodendrocytes 2,1630.0,0.114,8.0,154,3,1.95,2.35 (1.58-3.12),151,98.05,3.27 (3.00-3.53)
