tipo_celular,module_size,VPS13C_MM,VPS13C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.231,50.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,388,0.148,48.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141,0.191,98.0,166,13,7.83,2.36 (1.49-3.23),153,92.17,3.49 (3.23-3.75)
oligodendrocyte progenitor cells 7,448,0.15,57.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,400,0.149,22.0,24,20,83.33,2.15 (1.57-2.73),4,16.67,2.17 (1.05-3.30)
GLU like neurons 17,229,0.14,18.0,22,3,13.64,4.03 (4.03-4.03),19,86.36,2.28 (1.64-2.92)
da like neurons 11,204,0.278,81.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,288,0.149,38.0,93,4,4.3,1.11 (0.68-1.54),89,95.7,5.39 (4.92-5.85)
endothelial cells 9,1653,0.21,93.0,297,5,1.68,5.76 (4.70-6.83),292,98.32,3.64 (3.43-3.84)
oligodendrocytes 20,676,0.539,83.0,110,6,5.45,1.60 (0.91-2.28),104,94.55,5.27 (4.86-5.69)
GABA like neurons 14,1300,0.144,21.0,306,14,4.58,2.00 (1.32-2.68),292,95.42,5.32 (5.07-5.57)
astrocytes 8,771,0.13,51.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,153,0.382,40.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,236,0.347,16.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,102,0.202,10.0,5,2,40.0,1.57 (1.57-1.57),3,60.0,1.01 (NA-NA)
astrocytes 15,1768,0.18,98.0,105,25,23.81,3.36 (2.70-4.01),80,76.19,3.16 (2.77-3.55)
oligodendrocytes 16,153,0.41,68.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.183,62.0,138,10,7.25,2.15 (1.29-3.01),128,92.75,5.07 (4.71-5.43)
astrocytes microglia 23,229,0.21,20.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,752,0.171,77.0,96,5,5.21,2.42 (1.64-3.19),91,94.79,3.35 (3.01-3.70)
oligodendrocytes 0,261,0.171,40.0,42,8,19.05,1.33 (1.02-1.64),34,80.95,4.83 (4.23-5.42)
microglia 1,315,0.175,52.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,116,0.343,94.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,347,0.071,1.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
