tipo_celular,module_size,FAM172A_MM,FAM172A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.124,20.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,388,0.105,21.0,84,4,4.76,2.26 (2.13-2.40),80,95.24,3.01 (2.67-3.35)
astrocytes 5,1141,0.194,99.0,166,31,18.67,2.44 (1.95-2.93),135,81.33,3.67 (3.40-3.94)
oligodendrocyte progenitor cells 7,448,0.069,5.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,192,0.125,46.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,685,0.12,42.0,135,23,17.04,2.04 (1.53-2.55),112,82.96,3.48 (3.14-3.82)
da like neurons 11,137,0.424,91.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.15,40.0,93,9,9.68,2.30 (1.49-3.10),84,90.32,5.56 (5.09-6.03)
endothelial cells 9,1653,0.185,85.0,297,4,1.35,4.62 (4.62-4.62),293,98.65,3.67 (3.46-3.87)
oligodendrocytes 20,676,0.621,91.0,110,6,5.45,1.97 (0.84-3.11),104,94.55,5.24 (4.82-5.67)
GABA like neurons 14,1300,0.091,8.0,306,13,4.25,2.10 (1.46-2.74),293,95.75,5.29 (5.04-5.55)
astrocytes 8,727,0.158,76.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,254,0.172,25.0,37,2,5.41,2.88 (2.28-3.48),35,94.59,4.61 (4.01-5.21)
oligodendrocytes 10,236,0.356,19.0,82,3,3.66,3.33 (2.39-4.27),79,96.34,5.08 (4.54-5.61)
connective tissue cells 21,114,0.163,7.0,19,1,5.26,7.59 (NA-NA),18,94.74,4.73 (4.06-5.40)
astrocytes 15,443,0.153,51.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,287,0.375,70.0,105,8,7.62,2.02 (1.17-2.87),97,92.38,5.47 (5.07-5.87)
da neurons 6,398,0.156,53.0,138,13,9.42,2.19 (1.34-3.04),125,90.58,5.15 (4.80-5.51)
astrocytes microglia 23,91,0.226,33.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,752,0.171,78.0,96,10,10.42,3.13 (2.49-3.76),86,89.58,3.31 (2.95-3.68)
oligodendrocytes 0,261,0.227,79.0,42,6,14.29,1.22 (0.89-1.56),36,85.71,4.72 (4.10-5.33)
microglia 1,315,0.117,21.0,144,5,3.47,3.25 (2.73-3.77),139,96.53,4.51 (4.19-4.82)
oligodendrocytes 3,116,0.278,59.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,804,0.093,3.0,84,7,8.33,2.10 (0.76-3.43),77,91.67,2.76 (2.42-3.10)
