tipo_celular,module_size,TOLLIP_MM,TOLLIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.108,37.0,136,4,2.94,2.73 (1.22-4.24),132,97.06,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,296.0,0.12,14.0,251,7,2.79,NA,244,97.21,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.328,81.0,262,31,11.83,3.09 (2.51-3.66),231,88.17,4.29 (4.03-4.55)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.263,74.0,410,41,10.0,3.42 (2.97-3.88),369,90.0,4.33 (4.13-4.53)
GABA neurons expressing GABA receptors 13,70.0,0.282,98.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,338.0,0.094,29.0,191,5,2.62,3.69 (3.29-4.10),186,97.38,3.89 (3.66-4.12)
oligodendrocytes 20,221.0,0.119,16.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402.0,0.324,70.0,455,49,10.77,2.69 (2.19-3.20),406,89.23,4.55 (4.36-4.74)
astrocytes 8,520.0,0.101,42.0,288,41,14.24,3.37 (2.91-3.82),247,85.76,4.29 (4.07-4.50)
oligodendrocyte progenitor cells 12,3303.0,0.033,3.0,276,28,10.14,2.52 (2.04-2.99),248,89.86,3.69 (3.45-3.92)
oligodendrocytes 10,806.0,0.189,60.0,261,15,5.75,3.02 (2.37-3.66),246,94.25,4.43 (4.18-4.68)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.023,4.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,82.0,0.383,99.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.096,27.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,125.0,0.253,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.106,4.0,104,21,20.19,2.18 (1.58-2.79),83,79.81,3.03 (2.72-3.34)
oligodendrocytes 0,2078.0,0.089,9.0,238,5,2.1,2.03 (-0.05-4.10),233,97.9,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.113,49.0,345,38,11.01,3.58 (3.18-3.98),307,88.99,4.35 (4.13-4.58)
oligodendrocytes 2,1630.0,0.158,81.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
