tipo_celular,module_size,NRG2_MM,NRG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.083,4.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,436.0,0.133,53.0,219,3,1.37,3.55 (2.20-4.90),216,98.63,5.25 (4.96-5.54)
GABA neurons expressing GLU receptors 22,459.0,0.268,83.0,165,9,5.45,2.30 (1.45-3.15),156,94.55,5.30 (4.97-5.63)
GLU like neurons 17,489.0,0.112,32.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,108.0,0.496,100.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.141,60.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.08,31.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.271,78.0,306,12,3.92,1.97 (1.37-2.56),294,96.08,5.29 (5.03-5.54)
astrocytes 8,727.0,0.151,74.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,103.0,0.518,90.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,1277.0,0.121,59.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.092,54.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62)
oligodendrocytes 16,61.0,0.229,67.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.193,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.129,17.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,187.0,0.166,50.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.167,78.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,347.0,0.132,13.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
