tipo_celular,module_size,GRIK5_MM,GRIK5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.119,65.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,13,3.68,1.37 (0.73-2.00),340,96.32,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.265,96.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.216,88.0,51,2,3.92,5.51 (5.51-5.51),49,96.08,3.53 (2.94-4.12)
da like neurons 11,853.0,0.207,85.0,133,16,12.03,2.59 (1.20-3.97),117,87.97,3.34 (3.04-3.65)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.207,82.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.093,61.0,66,13,19.7,1.63 (0.96-2.31),53,80.3,3.70 (3.28-4.11)
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,9,3.26,1.93 (1.27-2.59),267,96.74,3.61 (3.39-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.245,93.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.275,27.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.134,30.0,104,9,8.65,1.80 (1.03-2.57),95,91.35,2.97 (2.68-3.26)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
