tipo_celular,module_size,POU6F1_MM,POU6F1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.122,69.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,14,3.97,1.53 (0.93-2.13),339,96.03,4.01 (3.82-4.19)
GABA neurons expressing GLU receptors 22,192.0,0.069,7.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,265.0,0.058,2.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.23,77.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.115,23.0,74,1,1.35,NA,73,98.65,2.94 (2.57-3.32)
astrocytes 8,260.0,0.115,45.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66)
oligodendrocyte progenitor cells 12,708.0,0.044,11.0,32,6,18.75,0.42 (0.32-0.52),26,81.25,3.86 (3.08-4.64)
oligodendrocytes 10,1277.0,0.031,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.433,97.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,338.0,0.133,37.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,75.0,0.169,30.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.378,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.146,40.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.133,86.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.054,8.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.155,77.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
