tipo_celular,module_size,PTP4A2_MM,PTP4A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.136,25.0,102,3,2.94,2.14 (0.67-3.61),99,97.06,3.54 (3.17-3.91)
T cells 18,477.0,0.218,81.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,567.0,0.198,52.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.095,41.0,18,7,38.89,0.93 (0.36-1.50),11,61.11,2.48 (1.59-3.37)
GABA like neurons 14,3052.0,0.141,52.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.132,44.0,358,12,3.35,1.33 (0.67-2.00),346,96.65,3.98 (3.79-4.17)
connective tissue cells 21,152.0,0.23,34.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.106,12.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.357,55.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.149,98.0,238,2,0.84,2.87 (2.19-3.55),236,99.16,3.64 (3.42-3.87)
microglia 1,480.0,0.166,38.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,681.0,0.123,73.0,87,6,6.9,1.38 (0.43-2.33),81,93.1,2.68 (2.41-2.95)
oligodendrocytes 2,921.0,0.165,88.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
