tipo_celular,module_size,RNF24_MM,RNF24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.188,56.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,282.0,0.138,22.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.108,48.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,10,2.83,1.11 (0.47-1.75),343,97.17,3.99 (3.81-4.18)
GABA neurons expressing GLU receptors 22,459.0,0.09,15.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1316.0,0.133,58.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853.0,0.134,53.0,133,4,3.01,0.46 (0.38-0.54),129,96.99,3.36 (3.05-3.66)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.223,52.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,358.0,0.427,98.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.174,78.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.121,78.0,66,5,7.58,0.56 (0.36-0.76),61,92.42,3.48 (3.09-3.88)
oligodendrocyte progenitor cells 12,1049.0,0.042,10.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,2107.0,0.362,96.0,358,9,2.51,0.99 (0.33-1.65),349,97.49,3.96 (3.77-4.15)
connective tissue cells 21,152.0,0.175,12.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,268.0,0.027,2.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,88.0,0.172,33.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.247,17.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,255.0,0.185,59.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.102,5.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813.0,0.128,62.0,79,1,1.27,2.24 (NA-NA),78,98.73,3.11 (2.71-3.52)
oligodendrocytes 3,681.0,0.058,14.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,1630.0,0.127,22.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
