tipo_celular,module_size,LHFPL3_MM,LHFPL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.062,2.0,225,2,0.89,0.92 (0.19-1.65),223,99.11,3.64 (3.40-3.89)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.125,47.0,219,1,0.46,2.43 (NA-NA),218,99.54,5.23 (4.94-5.52)
GABA neurons expressing GLU receptors 22,599.0,0.137,15.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,489.0,0.47,98.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,140.0,0.333,82.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,65.0,0.203,72.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,450.0,0.198,46.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,228.0,0.343,89.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24)
GABA like neurons 14,1300.0,0.223,58.0,306,5,1.63,2.15 (1.67-2.62),301,98.37,5.17 (4.90-5.43)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.512,99.0,103,2,1.94,4.07 (0.85-7.29),101,98.06,5.59 (5.20-5.97)
oligodendrocytes 10,1277.0,0.115,55.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,149.0,0.236,58.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.157,70.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.073,29.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,921.0,0.102,7.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
