tipo_celular,module_size,ARHGAP17_MM,ARHGAP17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.198,50.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727.0,0.175,74.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932.0,0.1,37.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.165,90.0,353,12,3.4,2.27 (1.27-3.27),341,96.6,3.96 (3.78-4.15)
GABA neurons expressing GLU receptors 22,599.0,0.2,44.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.104,31.0,135,13,9.63,2.59 (1.80-3.39),122,90.37,3.26 (2.93-3.59)
da like neurons 11,215.0,0.219,60.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.177,49.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,253.0,0.24,79.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.127,31.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771.0,0.08,30.0,48,3,6.25,3.96 (0.84-7.08),45,93.75,4.47 (3.68-5.25)
oligodendrocyte progenitor cells 12,3303.0,0.117,87.0,276,5,1.81,1.64 (0.49-2.79),271,98.19,3.59 (3.37-3.81)
oligodendrocytes 10,2107.0,0.216,73.0,358,17,4.75,2.32 (1.45-3.18),341,95.25,3.97 (3.77-4.16)
connective tissue cells 21,111.0,0.369,83.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.133,85.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66)
oligodendrocytes 16,71.0,0.21,59.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,51.0,0.383,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.166,76.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.145,50.0,300,10,3.33,3.62 (3.28-3.96),290,96.67,3.80 (3.59-4.01)
microglia 1,1615.0,0.1,36.0,161,14,8.7,2.91 (1.93-3.88),147,91.3,3.32 (3.04-3.59)
oligodendrocytes 3,681.0,0.117,69.0,87,3,3.45,2.01 (0.32-3.69),84,96.55,2.61 (2.33-2.88)
oligodendrocytes 2,407.0,0.171,66.0,122,7,5.74,1.28 (0.45-2.11),115,94.26,3.49 (3.10-3.88)
