tipo_celular,module_size,UNC5D_MM,UNC5D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.212,83.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.123,30.0,353,3,0.85,1.23 (0.23-2.23),350,99.15,3.92 (3.73-4.10)
GABA neurons expressing GLU receptors 22,459.0,0.37,96.0,165,11,6.67,4.06 (2.87-5.26),154,93.33,5.15 (4.79-5.51)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265.0,0.132,36.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.158,26.0,306,32,10.46,4.83 (3.97-5.70),274,89.54,5.13 (4.86-5.41)
astrocytes 8,727.0,0.066,22.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,411.0,0.041,14.0,103,18,17.48,5.73 (4.48-6.97),85,82.52,5.51 (5.11-5.91)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.148,90.0,105,3,2.86,1.23 (0.23-2.23),102,97.14,3.28 (2.94-3.61)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.421,97.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,201.0,0.294,93.0,18,1,5.56,8.28 (NA-NA),17,94.44,4.29 (3.50-5.08)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
