tipo_celular,module_size,TDRD7_MM,TDRD7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.308,91.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35)
T cells 18,727.0,0.106,21.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,44,12.46,1.96 (1.63-2.30),309,87.54,4.23 (4.05-4.41)
GABA neurons expressing GLU receptors 22,1069.0,0.158,45.0,37,4,10.81,2.11 (1.58-2.64),33,89.19,2.16 (1.65-2.68)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,145.0,0.186,39.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.106,32.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.258,72.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.137,48.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.077,48.0,276,32,11.59,1.92 (1.58-2.27),244,88.41,3.81 (3.59-4.04)
oligodendrocytes 10,2107.0,0.062,10.0,358,47,13.13,1.94 (1.59-2.28),311,86.87,4.24 (4.06-4.43)
connective tissue cells 21,116.0,0.331,74.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,82.0,0.379,98.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.253,15.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.105,30.0,238,8,3.36,2.35 (1.54-3.16),230,96.64,3.69 (3.47-3.91)
microglia 1,1615.0,0.121,65.0,161,29,18.01,1.65 (1.29-2.01),132,81.99,3.73 (3.46-4.00)
oligodendrocytes 3,854.0,0.05,6.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.137,41.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
