tipo_celular,module_size,ITPKC_MM,ITPKC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.27,83.0,58,1,1.72,1.94 (NA-NA),57,98.28,4.22 (3.80-4.64)
oligodendrocyte progenitor cells 7,666.0,0.154,40.0,127,4,3.15,3.55 (2.21-4.89),123,96.85,3.85 (3.50-4.20)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.184,73.0,135,5,3.7,1.24 (0.85-1.62),130,96.3,3.28 (2.97-3.59)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.077,45.0,66,17,25.76,2.10 (1.43-2.78),49,74.24,3.70 (3.25-4.15)
oligodendrocyte progenitor cells 12,3303.0,0.038,6.0,276,26,9.42,3.68 (2.99-4.37),250,90.58,3.52 (3.29-3.75)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.374,85.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.111,71.0,96,2,2.08,4.07 (4.07-4.07),94,97.92,3.60 (3.14-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.37,83.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.288,90.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
