tipo_celular,module_size,CFAP70_MM,CFAP70_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.299,97.0,32,11,34.38,5.77 (4.97-6.57),21,65.62,4.35 (4.14-4.55)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.211,71.0,23,1,4.35,NA,22,95.65,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.123,41.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,172.0,0.248,55.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.164,57.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.119,77.0,66,15,22.73,2.03 (1.19-2.86),51,77.27,3.62 (3.19-4.04)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.028,3.0,96,8,8.33,3.08 (2.27-3.88),88,91.67,3.67 (3.18-4.16)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,45.0,0.259,35.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,752.0,0.17,75.0,96,5,5.21,2.77 (1.41-4.13),91,94.79,3.32 (2.98-3.66)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
