tipo_celular,module_size,CFL2_MM,CFL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.203,58.0,410,12,2.93,3.84 (2.30-5.38),398,97.07,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,77.0,0.194,58.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.60 (2.98-4.21)
endothelial cells 9,338.0,0.107,37.0,191,1,0.52,2.23 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,938.0,0.126,50.0,169,11,6.51,2.72 (1.30-4.14),158,93.49,3.52 (3.30-3.74)
GABA like neurons 14,2402.0,0.308,67.0,455,18,3.96,2.36 (1.42-3.29),437,96.04,4.43 (4.25-4.61)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.165,52.0,261,13,4.98,4.49 (3.34-5.64),248,95.02,4.36 (4.11-4.61)
connective tissue cells 21,85.0,0.417,92.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,71.0,0.199,66.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,553.0,0.08,12.0,124,5,4.03,4.48 (0.31-8.65),119,95.97,4.17 (3.78-4.56)
astrocytes microglia 23,57.0,0.481,100.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.187,60.0,252,16,6.35,2.07 (1.05-3.08),236,93.65,4.23 (3.98-4.47)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.142,92.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.295,84.0,175,14,8.0,4.06 (2.90-5.22),161,92.0,4.40 (4.04-4.77)
