tipo_celular,module_size,ST3GAL1_MM,ST3GAL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.207,59.0,102,9,8.82,1.76 (1.13-2.38),93,91.18,3.68 (3.30-4.05)
T cells 18,518.0,0.304,99.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,322.0,0.124,23.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.1,25.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,197.0,0.319,82.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.235,72.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,140.0,0.051,19.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,90.0,0.328,72.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,338.0,0.224,88.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.283,33.0,120,11,9.17,1.40 (0.53-2.26),109,90.83,3.78 (3.49-4.07)
astrocytes 4,171.0,0.136,23.0,22,2,9.09,4.56 (NA-NA),20,90.91,4.54 (3.56-5.52)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.306,86.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
