tipo_celular,module_size,TRIM9_MM,TRIM9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.204,65.0,58,2,3.45,NA,56,96.55,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,436.0,0.079,17.0,219,6,2.74,5.45 (3.25-7.65),213,97.26,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.136,39.0,165,2,1.21,NA,163,98.79,5.06 (4.72-5.41)
GLU like neurons 17,795.0,0.261,89.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,191.0,0.181,34.0,93,6,6.45,5.45 (3.25-7.65),87,93.55,5.66 (5.25-6.07)
GABA neurons expressing GABA receptors 13,88.0,0.159,50.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.165,37.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300.0,0.2,47.0,306,10,3.27,3.49 (1.75-5.22),296,96.73,5.15 (4.88-5.41)
astrocytes 8,279.0,0.226,30.0,78,3,3.85,7.70 (NA-NA),75,96.15,4.26 (3.86-4.67)
oligodendrocyte progenitor cells 12,411.0,0.336,79.0,103,2,1.94,NA,101,98.06,5.55 (5.16-5.93)
oligodendrocytes 10,806.0,0.086,21.0,261,6,2.3,5.45 (3.25-7.65),255,97.7,4.35 (4.10-4.59)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.272,88.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,149.0,0.148,23.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,228.0,0.162,83.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,141.0,0.24,48.0,30,6,20.0,5.45 (3.25-7.65),24,80.0,5.70 (4.71-6.68)
astrocytes 4,171.0,0.153,36.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,479.0,0.238,90.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.223,97.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,348.0,0.16,32.0,114,6,5.26,5.45 (3.25-7.65),108,94.74,5.10 (4.68-5.52)
