tipo_celular,module_size,HNRNPA1_MM,HNRNPA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.163,53.0,97,4,4.12,4.23 (2.22-6.23),93,95.88,3.01 (2.61-3.41)
T cells 18,282.0,0.175,48.0,12,2,16.67,5.24 (3.59-6.89),10,83.33,2.91 (1.73-4.10)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.106,14.0,353,92,26.06,2.70 (2.39-3.01),261,73.94,4.47 (4.29-4.65)
GABA neurons expressing GLU receptors 22,848.0,0.229,57.0,262,23,8.78,2.36 (1.70-3.02),239,91.22,4.33 (4.08-4.58)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.136,27.0,302,6,1.99,2.44 (1.15-3.73),296,98.01,4.02 (3.80-4.25)
oligodendrocytes 20,233.0,0.175,40.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.33,71.0,455,52,11.43,2.31 (1.93-2.70),403,88.57,4.67 (4.49-4.85)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218.0,0.073,27.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,483.0,0.234,76.0,129,4,3.1,5.27 (2.99-7.55),125,96.9,3.37 (2.98-3.76)
connective tissue cells 21,139.0,0.355,82.0,6,2,33.33,NA,4,66.67,1.24 (-0.25-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.174,20.0,102,28,27.45,1.88 (1.47-2.29),74,72.55,3.94 (3.61-4.27)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.327,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.103,28.0,238,26,10.92,3.74 (3.05-4.42),212,89.08,3.62 (3.39-3.85)
microglia 1,958.0,0.088,16.0,290,57,19.66,3.98 (3.47-4.50),233,80.34,3.76 (3.51-4.02)
oligodendrocytes 3,743.0,0.054,11.0,76,2,2.63,2.44 (NA-NA),74,97.37,3.17 (2.77-3.57)
oligodendrocytes 2,1630.0,0.122,17.0,154,2,1.3,3.03 (2.40-3.66),152,98.7,3.25 (2.98-3.52)
