tipo_celular,module_size,FGF1_MM,FGF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.134,32.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,229.0,0.211,58.0,45,7,15.56,5.24 (4.85-5.63),38,84.44,4.95 (4.18-5.71)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.224,61.0,25,8,32.0,2.03 (0.89-3.17),17,68.0,6.34 (4.98-7.69)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.232,55.0,62,4,6.45,3.67 (2.12-5.21),58,93.55,4.08 (3.61-4.55)
oligodendrocytes 20,358.0,0.13,39.0,31,4,12.9,3.17 (2.70-3.64),27,87.1,2.23 (1.76-2.71)
GABA like neurons 14,3052.0,0.08,8.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727.0,0.097,43.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.253,84.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,1277.0,0.212,94.0,27,3,11.11,7.31 (5.40-9.21),24,88.89,5.17 (4.28-6.06)
connective tissue cells 21,114.0,0.252,42.0,19,15,78.95,4.79 (3.96-5.62),4,21.05,5.25 (3.72-6.78)
astrocytes 15,1401.0,0.083,48.0,96,4,4.17,2.72 (1.11-4.32),92,95.83,3.66 (3.20-4.12)
oligodendrocytes 16,94.0,0.132,8.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,42.0,0.325,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.119,14.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,613.0,0.195,88.0,127,15,11.81,2.11 (1.76-2.47),112,88.19,3.25 (2.77-3.73)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.16,89.0,87,43,49.43,2.18 (1.89-2.46),44,50.57,3.06 (2.62-3.50)
oligodendrocytes 2,348.0,0.226,61.0,114,21,18.42,4.46 (3.80-5.13),93,81.58,5.31 (4.83-5.80)
