tipo_celular,module_size,RGS3_MM,RGS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.181,65.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656.0,0.09,14.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.14,34.0,410,6,1.46,0.55 (NA-NA),404,98.54,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.236,71.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,295.0,0.174,44.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.131,18.0,455,13,2.86,0.60 (0.39-0.81),442,97.14,4.43 (4.26-4.61)
astrocytes 8,520.0,0.058,17.0,288,6,2.08,0.92 (0.19-1.65),282,97.92,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.143,73.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,95.0,0.28,53.0,4,1,25.0,5.16 (NA-NA),3,75.0,2.91 (2.68-3.14)
astrocytes 15,458.0,0.071,34.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,81.0,0.092,7.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,307.0,0.073,8.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,124.0,0.273,24.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.117,9.0,104,6,5.77,1.16 (0.43-1.89),98,94.23,2.98 (2.69-3.26)
oligodendrocytes 0,479.0,0.125,28.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.1,53.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,1630.0,0.155,78.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
