tipo_celular,module_size,MFGE8_MM,MFGE8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.063,1.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.418,91.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,938.0,0.079,27.0,169,11,6.51,2.99 (2.04-3.93),158,93.49,3.51 (3.28-3.73)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.054,19.0,66,8,12.12,1.21 (0.58-1.84),58,87.88,3.56 (3.15-3.96)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.073,25.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.32,58.0,2,1,50.0,6.60 (NA-NA),1,50.0,NA
astrocytes 15,418.0,0.054,30.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,155.0,0.293,84.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.239,12.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.135,26.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,117.0,0.122,32.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,32.0,0.044,7.0,81,0,0.0,NA,81,100.0,4.04 (3.74-4.34)
oligodendrocytes 2,1630.0,0.148,64.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
