tipo_celular,module_size,SNAPC3_MM,SNAPC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.372,96.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,393,0.157,52.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656,0.108,38.0,136,7,5.15,2.11 (0.93-3.28),129,94.85,3.28 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285,0.158,83.0,353,35,9.92,1.69 (1.29-2.09),318,90.08,4.20 (4.03-4.38)
GABA neurons expressing GLU receptors 22,823,0.094,6.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23)
GLU like neurons 17,1316,0.146,69.0,101,1,0.99,5.64 (NA-NA),100,99.01,3.02 (2.67-3.37)
da like neurons 11,94,0.302,70.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73,0.163,50.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.09,20.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938,0.058,15.0,169,4,2.37,1.62 (-0.26-3.49),165,97.63,3.54 (3.32-3.75)
GABA like neurons 14,3052,0.214,95.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,283,0.031,4.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.092,66.0,276,25,9.06,1.70 (1.42-1.98),251,90.94,3.79 (3.57-4.01)
oligodendrocytes 10,735,0.073,32.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,100,0.336,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367,0.158,60.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,123,0.217,55.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,553,0.091,22.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,41,0.283,23.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,787,0.168,80.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.142,95.0,238,6,2.52,2.46 (1.01-3.91),232,97.48,3.67 (3.45-3.89)
microglia 1,1615,0.08,10.0,161,31,19.25,1.48 (1.16-1.80),130,80.75,3.80 (3.54-4.06)
oligodendrocytes 3,1003,0.08,33.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.132,39.0,200,2,1.0,1.32 (NA-NA),198,99.0,3.64 (3.37-3.90)
