tipo_celular,module_size,TMEM63A_MM,TMEM63A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.198,75.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,624.0,0.172,66.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48)
astrocytes 5,165.0,0.147,36.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.414,80.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.609,89.0,110,4,3.64,4.43 (4.17-4.69),106,96.36,5.01 (4.55-5.47)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.304,81.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,236.0,0.676,93.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,250.0,0.248,31.0,117,4,3.42,2.26 (1.62-2.90),113,96.58,5.53 (5.14-5.91)
astrocytes 15,458.0,0.069,33.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,153.0,0.501,96.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.22,5.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,201.0,0.156,36.0,18,2,11.11,2.53 (2.34-2.73),16,88.89,4.82 (3.91-5.74)
oligodendrocytes 0,261.0,0.298,96.0,42,4,9.52,3.00 (1.38-4.62),38,90.48,4.21 (3.46-4.96)
microglia 1,127.0,0.132,30.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,116.0,0.274,52.0,7,2,28.57,NA,5,71.43,3.71 (1.38-6.05)
oligodendrocytes 2,131.0,0.218,68.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
