tipo_celular,module_size,UFSP2_MM,UFSP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,19,5.38,1.29 (0.81-1.76),334,94.62,4.07 (3.90-4.25)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.063,5.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,250.0,0.303,82.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.222,48.0,455,15,3.3,1.27 (0.71-1.83),440,96.7,4.49 (4.31-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.128,67.0,235,1,0.43,3.74 (NA-NA),234,99.57,3.82 (3.59-4.06)
oligodendrocytes 10,806.0,0.054,9.0,261,2,0.77,2.99 (1.51-4.47),259,99.23,4.38 (4.14-4.62)
connective tissue cells 21,106.0,0.329,77.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,84.0,0.185,57.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.35,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.109,39.0,238,4,1.68,1.98 (0.20-3.77),234,98.32,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.078,43.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.119,13.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
