tipo_celular,module_size,DPP10_MM,DPP10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.478,100.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.122,44.0,219,19,8.68,4.44 (4.15-4.72),200,91.32,5.31 (4.99-5.62)
GABA neurons expressing GLU receptors 22,823.0,0.327,98.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.259,89.0,80,10,12.5,5.00 (4.03-5.97),70,87.5,5.83 (5.38-6.28)
da like neurons 11,120.0,0.406,89.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.162,46.0,93,7,7.53,2.67 (0.74-4.61),86,92.47,5.42 (4.95-5.88)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.275,75.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24)
GABA like neurons 14,1300.0,0.179,36.0,306,34,11.11,3.49 (2.86-4.12),272,88.89,5.40 (5.13-5.67)
astrocytes 8,47.0,0.151,59.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33)
oligodendrocyte progenitor cells 12,411.0,0.236,62.0,103,9,8.74,5.24 (4.50-5.99),94,91.26,5.57 (5.16-5.99)
oligodendrocytes 10,1277.0,0.062,18.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.4,100.0,96,6,6.25,3.76 (1.98-5.54),90,93.75,3.60 (3.13-4.07)
oligodendrocytes 16,149.0,0.312,79.0,70,2,2.86,4.92 (4.49-5.34),68,97.14,5.68 (5.19-6.17)
da neurons 6,398.0,0.097,19.0,138,6,4.35,1.18 (0.70-1.67),132,95.65,5.02 (4.67-5.37)
astrocytes microglia 23,89.0,0.702,100.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.118,20.0,63,2,3.17,1.93 (1.64-2.21),61,96.83,5.27 (4.72-5.82)
oligodendrocytes 0,479.0,0.154,54.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,94.0,0.234,87.0,7,2,28.57,8.28 (8.28-8.28),5,71.43,2.97 (1.07-4.87)
oligodendrocytes 2,348.0,0.086,2.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
