tipo_celular,module_size,TMEM241_MM,TMEM241_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.197,42.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.116,28.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,14,3.97,1.66 (0.75-2.57),339,96.03,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,599.0,0.199,43.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,795.0,0.077,14.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,209.0,0.27,72.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.124,37.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.254,80.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,8,2.9,2.26 (1.57-2.94),268,97.1,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.323,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.119,78.0,105,4,3.81,1.23 (0.25-2.22),101,96.19,3.30 (2.96-3.63)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.254,16.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,514.0,0.152,30.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.093,22.0,290,4,1.38,3.50 (1.62-5.39),286,98.62,3.82 (3.59-4.05)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
