tipo_celular,module_size,NDUFB10_MM,NDUFB10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.196,67.0,164,31,18.9,4.01 (3.50-4.51),133,81.1,4.11 (3.71-4.50)
GABA neurons expressing GLU receptors 22,487.0,0.276,71.0,73,2,2.74,2.27 (0.40-4.14),71,97.26,2.77 (2.38-3.16)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.247,70.0,410,78,19.02,3.80 (3.54-4.07),332,80.98,4.39 (4.16-4.62)
GABA neurons expressing GABA receptors 13,417.0,0.229,83.0,213,88,41.31,3.37 (3.04-3.70),125,58.69,4.16 (3.81-4.51)
endothelial cells 9,916.0,0.356,79.0,302,67,22.19,3.89 (3.57-4.21),235,77.81,4.02 (3.73-4.31)
oligodendrocytes 20,938.0,0.203,81.0,169,55,32.54,3.57 (3.27-3.87),114,67.46,3.43 (3.13-3.73)
GABA like neurons 14,2402.0,0.582,94.0,455,80,17.58,3.51 (3.16-3.85),375,82.42,4.59 (4.38-4.80)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.202,85.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06)
oligodendrocytes 10,735.0,0.21,91.0,277,20,7.22,3.97 (3.88-4.06),257,92.78,3.89 (3.62-4.15)
connective tissue cells 21,101.0,0.302,46.0,116,32,27.59,3.35 (2.95-3.74),84,72.41,5.43 (4.91-5.95)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.22,50.0,291,18,6.19,3.07 (2.59-3.55),273,93.81,4.44 (4.20-4.67)
da neurons 6,729.0,0.206,75.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.182,58.0,252,70,27.78,3.33 (2.96-3.69),182,72.22,4.50 (4.19-4.81)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.15,65.0,345,9,2.61,2.69 (2.12-3.27),336,97.39,4.33 (4.12-4.54)
oligodendrocytes 2,526.0,0.295,59.0,213,60,28.17,4.10 (3.84-4.37),153,71.83,3.92 (3.53-4.31)
