tipo_celular,module_size,ARGLU1_MM,ARGLU1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.262,74.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,506.0,0.072,5.0,225,3,1.33,1.88 (-0.73-4.50),222,98.67,3.63 (3.38-3.88)
astrocytes 5,1141.0,0.16,85.0,166,8,4.82,1.97 (1.19-2.75),158,95.18,3.48 (3.22-3.73)
oligodendrocyte progenitor cells 7,628.0,0.217,75.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,567.0,0.162,37.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,489.0,0.147,56.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,168.0,0.115,51.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.123,20.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,676.0,0.645,93.0,110,2,1.82,3.22 (NA-NA),108,98.18,5.01 (4.56-5.47)
GABA like neurons 14,1300.0,0.197,46.0,306,4,1.31,2.90 (1.95-3.84),302,98.69,5.12 (4.86-5.39)
astrocytes 8,218.0,0.19,78.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,153.0,0.398,46.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,236.0,0.375,24.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,104.0,0.156,5.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768.0,0.153,92.0,105,7,6.67,1.77 (1.27-2.26),98,93.33,3.32 (2.98-3.67)
oligodendrocytes 16,287.0,0.335,57.0,105,2,1.9,3.22 (NA-NA),103,98.1,5.10 (4.65-5.55)
da neurons 6,398.0,0.245,78.0,138,6,4.35,2.02 (0.79-3.25),132,95.65,4.98 (4.61-5.34)
astrocytes microglia 23,137.0,0.153,2.0,188,11,5.85,1.62 (0.94-2.31),177,94.15,4.56 (4.23-4.90)
astrocytes 4,752.0,0.151,46.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261.0,0.197,59.0,42,1,2.38,1.18 (NA-NA),41,97.62,4.15 (3.46-4.84)
microglia 1,1615.0,0.156,92.0,161,16,9.94,1.60 (1.03-2.16),145,90.06,3.50 (3.23-3.77)
oligodendrocytes 3,127.0,0.357,76.0,45,0,0.0,NA,45,100.0,4.32 (3.47-5.16)
oligodendrocytes 2,526.0,0.108,6.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
