tipo_celular,module_size,POLR1A_MM,POLR1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.203,84.0,71,6,8.45,2.05 (1.22-2.88),65,91.55,2.68 (2.24-3.13)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.11,40.0,136,8,5.88,3.98 (2.85-5.10),128,94.12,3.15 (2.88-3.43)
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,41,11.61,2.32 (1.88-2.76),312,88.39,4.14 (3.96-4.33)
GABA neurons expressing GLU receptors 22,703.0,0.151,30.0,23,4,17.39,2.17 (1.32-3.02),19,82.61,2.07 (1.22-2.93)
GLU like neurons 17,795.0,0.084,20.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,120.0,0.213,37.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.059,13.0,36,7,19.44,2.31 (1.95-2.68),29,80.56,1.82 (1.40-2.24)
GABA like neurons 14,2090.0,0.113,22.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.046,12.0,66,18,27.27,1.78 (1.26-2.31),48,72.73,3.89 (3.47-4.32)
oligodendrocyte progenitor cells 12,708.0,0.036,5.0,32,11,34.38,1.89 (1.03-2.76),21,65.62,4.12 (3.10-5.14)
oligodendrocytes 10,2107.0,0.137,47.0,358,43,12.01,2.22 (1.79-2.64),315,87.99,4.16 (3.97-4.35)
connective tissue cells 21,69.0,0.422,96.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.076,41.0,96,7,7.29,3.64 (1.76-5.52),89,92.71,3.61 (3.15-4.08)
oligodendrocytes 16,123.0,0.372,100.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.238,15.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,1807.0,0.13,25.0,104,21,20.19,2.08 (1.61-2.54),83,79.81,3.08 (2.76-3.40)
oligodendrocytes 0,2078.0,0.105,31.0,238,8,3.36,2.99 (1.68-4.29),230,96.64,3.66 (3.44-3.88)
microglia 1,813.0,0.149,79.0,79,3,3.8,4.91 (4.41-5.41),76,96.2,3.02 (2.61-3.43)
oligodendrocytes 3,1003.0,0.049,5.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.134,33.0,154,2,1.3,4.78 (4.03-5.53),152,98.7,3.22 (2.95-3.49)
