tipo_celular,module_size,PARD3B_MM,PARD3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.268,75.0,15,5,33.33,5.00 (4.44-5.56),10,66.67,6.45 (5.53-7.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.174,57.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,200.0,0.19,57.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.206,78.0,135,6,4.44,2.54 (1.46-3.62),129,95.56,3.23 (2.91-3.54)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.304,79.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,279.0,0.407,92.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96)
GABA like neurons 14,3052.0,0.193,89.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279.0,0.163,10.0,78,5,6.41,4.77 (2.66-6.88),73,93.59,4.28 (3.86-4.70)
oligodendrocyte progenitor cells 12,708.0,0.409,93.0,32,11,34.38,3.81 (2.46-5.16),21,65.62,2.88 (1.88-3.88)
oligodendrocytes 10,1277.0,0.242,98.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31)
connective tissue cells 21,147.0,0.19,27.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418.0,0.273,66.0,54,2,3.7,3.08 (-0.42-6.58),52,96.3,3.71 (3.27-4.15)
oligodendrocytes 16,199.0,0.173,57.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.203,17.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220.0,0.218,79.0,63,1,1.59,5.62 (NA-NA),62,98.41,5.12 (4.55-5.69)
oligodendrocytes 0,479.0,0.25,92.0,40,2,5.0,5.16 (4.26-6.06),38,95.0,5.91 (5.37-6.46)
microglia 1,127.0,0.1,12.0,24,5,20.83,3.95 (2.75-5.16),19,79.17,5.60 (4.85-6.36)
oligodendrocytes 3,639.0,0.21,94.0,15,3,20.0,1.15 (0.02-2.28),12,80.0,3.96 (2.42-5.50)
oligodendrocytes 2,347.0,0.254,72.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
