tipo_celular,module_size,SENP1_MM,SENP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.271,84.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,624.0,0.146,45.0,142,5,3.52,5.60 (5.51-5.70),137,96.48,3.11 (2.85-3.37)
astrocytes 5,1656.0,0.109,39.0,136,8,5.88,2.41 (1.38-3.45),128,94.12,3.26 (2.98-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,77,21.81,2.72 (2.40-3.05),276,78.19,4.33 (4.14-4.53)
GABA neurons expressing GLU receptors 22,1069.0,0.138,30.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.173,63.0,74,14,18.92,2.25 (2.01-2.49),60,81.08,3.14 (2.67-3.60)
astrocytes 8,260.0,0.109,41.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.035,4.0,276,63,22.83,2.69 (2.37-3.01),213,77.17,3.89 (3.63-4.15)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,125.0,0.424,97.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,268.0,0.12,62.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.258,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.126,19.0,104,31,29.81,2.18 (1.77-2.59),73,70.19,3.19 (2.85-3.53)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.081,10.0,161,62,38.51,2.39 (2.11-2.67),99,61.49,4.05 (3.70-4.41)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
