tipo_celular,module_size,SNW1_MM,SNW1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.306,87.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,610.0,0.102,15.0,98,48,48.98,2.32 (1.91-2.72),50,51.02,3.92 (3.57-4.28)
astrocytes 5,1656.0,0.117,52.0,136,12,8.82,2.16 (1.56-2.75),124,91.18,3.30 (3.02-3.59)
oligodendrocyte progenitor cells 7,4285.0,0.147,68.0,353,87,24.65,2.68 (2.36-2.99),266,75.35,4.40 (4.21-4.58)
GABA neurons expressing GLU receptors 22,714.0,0.104,8.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,94.0,0.056,3.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.103,50.0,275,89,32.36,2.84 (2.51-3.17),186,67.64,4.83 (4.54-5.13)
oligodendrocytes 20,358.0,0.025,5.0,31,4,12.9,3.17 (2.70-3.64),27,87.1,2.23 (1.76-2.71)
GABA like neurons 14,2402.0,0.063,2.0,455,38,8.35,2.35 (1.78-2.92),417,91.65,4.59 (4.41-4.77)
astrocytes 8,577.0,0.041,11.0,83,8,9.64,3.19 (1.70-4.69),75,90.36,3.26 (2.78-3.73)
oligodendrocyte progenitor cells 12,153.0,0.041,6.0,27,2,7.41,NA,25,92.59,4.76 (3.76-5.76)
oligodendrocytes 10,2107.0,0.042,4.0,358,108,30.17,2.77 (2.46-3.08),250,69.83,4.46 (4.27-4.66)
connective tissue cells 21,111.0,0.308,61.0,26,2,7.69,2.44 (1.01-3.87),24,92.31,2.53 (1.81-3.26)
astrocytes 15,1768.0,0.045,10.0,105,39,37.14,2.66 (2.13-3.18),66,62.86,3.54 (3.12-3.96)
oligodendrocytes 16,113.0,0.235,67.0,10,3,30.0,2.55 (1.82-3.29),7,70.0,3.11 (1.98-4.23)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.353,72.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,1807.0,0.142,45.0,104,36,34.62,2.01 (1.64-2.38),68,65.38,3.33 (3.00-3.66)
oligodendrocytes 0,2078.0,0.124,71.0,238,24,10.08,3.12 (2.56-3.68),214,89.92,3.70 (3.46-3.94)
microglia 1,958.0,0.097,27.0,290,32,11.03,3.50 (2.89-4.12),258,88.97,3.86 (3.61-4.10)
oligodendrocytes 3,681.0,0.044,5.0,87,65,74.71,2.52 (2.23-2.80),22,25.29,2.77 (2.12-3.43)
oligodendrocytes 2,1630.0,0.155,76.0,154,3,1.95,5.50 (0.04-10.95),151,98.05,3.21 (2.95-3.47)
